model,sku,slug,color,image_url,release_date,release_date_year,discount_tag,box_condition,goat_url,model_sub_line,model_line,brand,description,story,prelude,ftb,gs,ps
Zoom Kobe 4 Protro 'Mambacita',FJ9363 100,zoom-kobe-4-protro-white-gold-emerald-fj9363-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/087/922/116/original/1109126_00.png,2023-05-01,2023,,good_condition,https://www.goat.com/sneakers/zoom-kobe-4-protro-white-gold-emerald-fj9363-100,Nike - Zoom Kobe 4 Protro,Nike - Zoom Kobe 4,Nike,Shop the Zoom Kobe 4 Protro 'Mambacita' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 4 Protro ‘Mambacita,’ also known as 'Gigi,' brings back Kobe Bryant’s fourth signature model in a special-edition colorway that celebrates the memory of Gigi Bryant. Dressed in the signature colors of Team Mamba, Gigi’s AAU squad, the white synthetic leather upper is accented with a contrasting black Swoosh, a decorative black-on-white grid pattern on the heel overlay, and a ‘Gigi’ wordmark embroidered on the back tab. Kobe’s personal logo adorns the tongue in a dull gold hue, matching the ‘2’ — Gigi’s jersey number — stamped on the molded heel counter. The sneaker is mounted on a two-tone Phylon midsole, fitted with a large-volume Zoom Air unit in the heel.",N,N,N,N
Zoom Kobe 6 GS 'Concord',429913 100,kobe-6-gs-429913-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/017/original/429913_100.png.png,,,,no_original_box,https://www.goat.com/sneakers/kobe-6-gs-429913-100,Nike - Zoom Kobe 6,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 GS 'Concord' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
Kobe 11 GS 'TV',822945 002,kobe-11-gs-tv-822945-002,Grey,https://image.goat.com/750/attachments/product_template_pictures/images/000/586/193/original/822945_002.png.png,2016-05-27,2016,,no_original_box,https://www.goat.com/sneakers/kobe-11-gs-tv-822945-002,Nike - Kobe 11,Nike - Kobe 11,Nike,Shop the Kobe 11 GS 'TV' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"This version of the Kobe 11 dropped in 2016 exclusively in grade school sizing. A nod to the television theme, the heel section of the shoe dons multi-colored bars reminiscent of the Technicolor logo of the ‘90s as well as a static-inspired Flyknit upper pattern in shades of Wolf Grey and Cool Grey. The shoe’s look is completed by a translucent outsole.",N,N,Y,N
Undefeated x Zoom Kobe 5 Protro 'What If Pack' Special Box,DB5551 900,undefeated-x-zoom-kobe-5-protro-what-if-pack-special-box-undft-kobe-5-what-if-pack,Multi-Color,https://image.goat.com/750/attachments/product_template_pictures/images/057/273/955/original/672783_00.png.png,2020-08-27,2020,,good_condition,https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-what-if-pack-special-box-undft-kobe-5-what-if-pack,Nike - Zoom Kobe 5 Protro,Nike - Zoom Kobe 5,Nike,Shop the Undefeated x Zoom Kobe 5 Protro 'What If Pack' Special Box and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Designed in partnership with the LA-based retailer, the Undefeated x Nike Zoom Kobe 5 Protro ‘What If Pack’ brings together two colorways inspired by Kobe Bryant’s selection in the 1996 NBA Draft. The first pair features various hues taken from the 12 teams that passed on the Mamba, while the second is dressed in the colors of the Charlotte Hornets, the franchise that took the 17-year-old high schooler with the 13th pick. Both are accented with metallic gold detailing that celebrates Bryant’s five championships.",N,N,N,N
Zoom Kobe 5 Protro 'Alternate Bruce Lee',CD4991 101,zoom-kobe-5-protro-alternate-bruce-lee-cd4991-101,White,https://image.goat.com/750/attachments/product_template_pictures/images/084/266/654/original/639895_00.png.png,2020-11-24,2020,,good_condition,https://www.goat.com/sneakers/zoom-kobe-5-protro-alternate-bruce-lee-cd4991-101,Nike - Zoom Kobe 5 Protro,Nike - Zoom Kobe 5,Nike,Shop the Zoom Kobe 5 Protro 'Alternate Bruce Lee' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 5 Protro ‘Alternate Bruce Lee’ pays homage to the iconic martial artist with a design that takes its cues from the 2010 colorway inspired by Lee’s jumpsuit from ‘Enter the Dragon.’ The black and white color scheme adds yellow accents in a nod to the original, along with the distinctive red scratch marks on the lateral forefoot. While the original Zoom Kobe 5 featured Zoom Air cushioning in the forefoot and heel, this pair utilizes a large-volume Zoom Air unit only in the forefoot.",N,N,N,N
Zoom Kobe Venomenon 5 'University Gold',749884 706,venomenon-5,Yellow,https://image.goat.com/750/attachments/product_template_pictures/images/066/251/766/original/29279_00.png.png,,,,no_original_box,https://www.goat.com/sneakers/venomenon-5,Nike - Zoom Kobe Venomenon 5,Nike - Zoom Kobe Venomenon 5,Nike,Shop the Zoom Kobe Venomenon 5 'University Gold' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe 10 GS '5AM Flight',726067 403,kobe-x-kids-basketball-shoe-726067-403,Blue,https://image.goat.com/750/attachments/product_template_pictures/images/000/011/619/original/726067403.png.png,,,,no_original_box,https://www.goat.com/sneakers/kobe-x-kids-basketball-shoe-726067-403,Nike - Kobe 10,Nike - Kobe 10,Nike,Shop the Kobe 10 GS '5AM Flight' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The first colorway of Nike’s Kobe 10 to be released, the ‘5AM Flight’ memorializes Bryant’s early morning leap off of a 40-foot diving board, made famous on the video platform Vine. The most obvious nod to the event comes via the Blue Lagoon that covers the knit upper and translucent outsole, the latter revealing a white midsole. A gold ‘X’ is emblazoned on the bottom of the sole, with Kobe’s signature appearing across the tongue in red.",N,N,Y,N
Zoom Kobe 6 'Grinch',429659 701,zoom-kobe-6-grinch-429659-701,Green,https://image.goat.com/750/attachments/product_template_pictures/images/079/019/491/original/13353_00.png.png,2010-12-25,2010,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-grinch-429659-701,Nike - Zoom Kobe 6,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 'Grinch' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 6 ‘Grinch’ launched Christmas Day in 2010, featuring a Green Apple colorway that calls to mind to the Dr. Seuss character with a penchant for ruining everyone’s famous December holiday. However the real inspiration behind this colorway is the deadly Green Mamba snake, with green scales and deep black eyes which can be seen on the scaly Mamba-inspired texture on the upper, with a contrasting black Swoosh. Red accents tie together the Christmas theme, highlighted with Kobe Bryant’s logo in red atop the tongue.",N,N,N,N
Zoom Kobe 5 Protro 'Big Stage',CT8014 100,kobe-5-protro-big-stage-2020-ct8014-100,Black,https://image.goat.com/750/attachments/product_template_pictures/images/084/147/229/original/589625_00.png.png,2020-08-23,2020,,good_condition,https://www.goat.com/sneakers/kobe-5-protro-big-stage-2020-ct8014-100,Nike - Zoom Kobe 5 Protro,Nike - Zoom Kobe 5,Nike,Shop the Zoom Kobe 5 Protro 'Big Stage' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Kobe 5 Protro 'Big Stage' gets its name from the shoe that Kobe Bryant wore during the 2010 NBA Finals, which culminated in the Mamba clinching his fifth and final championship with the Lakers. The design combines ‘home’ and ‘away’ editions of the ‘Big Stage’ Kobe 5 with graphic elements borrowed from the ‘Parade’ PE, which cover the lateral side of the left shoe and medial side of the right. Contrasting pops of metallic gold appear on the sneaker’s heel and branding hits.",N,N,N,N
Zoom Kobe 5 Protro 'EYBL',CD4991 300,zoom-kobe-5-protro-eybl-cd4991-300,Green,https://image.goat.com/750/attachments/product_template_pictures/images/084/179/184/original/651439_00.png.png,2020-08-29,2020,,good_condition,https://www.goat.com/sneakers/zoom-kobe-5-protro-eybl-cd4991-300,Nike - Zoom Kobe 5 Protro,Nike - Zoom Kobe 5,Nike,Shop the Zoom Kobe 5 Protro 'EYBL' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 5 Protro ‘EYBL’ is taken from a special 2020 collection that launched as part of Mamba Week, a weeklong celebration of Kobe Bryant’s legacy that kicked off on the athlete’s birthday, August 23. The low-top draws inspiration from Greek mythology, featuring a scaly texture on a dark green synthetic upper that conjures images of the villainous Medusa. Nike’s EYBL logo adorns the tongue of the left shoe, while Kobe’s personal logo graces the opposite tongue.",N,N,N,N
Zoom Kobe 6 'Dark Knight',429659 016,zoom-kobe-6-dark-knight-429659-016,Grey,https://image.goat.com/750/attachments/product_template_pictures/images/080/159/938/original/25208_00.png.png,2011-11-21,2011,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-dark-knight-429659-016,Nike - Zoom Kobe 6,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 'Dark Knight' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Inspired by Batman aka The Dark Knight, this 2011 Nike Zoom Kobe 6 'Dark Knight’ features a Dark Grey upper with black polyurethane snake-scale detailing, a Blue Glow swoosh and Chilling Red Kobe branding on the dark grey leather tongue. The upper is supported by a Phylon-injected black midsole with forefoot and heel Zoom Air units and a black outsole with Blue Glow and Chilling Red at the heel. The Zoom Kobe 6 also dropped in a Joker-inspired ‘Chaos’ colorway in April 2011.",N,N,N,N
Zoom Kobe 5 Protro 'Chaos',CD4991 100,zoom-kobe-5-protro-chaos-cd4991-100,Multi-Color,https://image.goat.com/750/attachments/product_template_pictures/images/079/644/418/original/558317_00.png.png,2020-01-03,2020,,good_condition,https://www.goat.com/sneakers/zoom-kobe-5-protro-chaos-cd4991-100,Nike - Zoom Kobe 5 Protro,Nike - Zoom Kobe 5,Nike,Shop the Zoom Kobe 5 Protro 'Chaos' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Celebrating its 10th anniversary, the Nike Zoom Kobe 5 Protro returns in January 2020 with inspiration taken from DC Comics supervillain, the Joker. This 'Chaos' edition evokes the character's iconic suit in a multi-color, mixed-material upper flaunting lizard skin textures, flecked laces and a protective toe cap while neon branding recalls his green hair. The sneaker carries a splattered midsole and color-pop rubber outsole.",N,N,N,N
Zoom Kobe 5 Protro '5x Champ',CD4991 500,zoom-kobe-5-protro-lakers-cd4991-500,Purple,https://image.goat.com/750/attachments/product_template_pictures/images/083/806/488/original/599997_00.png.png,2020-08-24,2020,,good_condition,https://www.goat.com/sneakers/zoom-kobe-5-protro-lakers-cd4991-500,Nike - Zoom Kobe 5 Protro,Nike - Zoom Kobe 5,Nike,Shop the Zoom Kobe 5 Protro '5x Champ' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Launching as part of a special commemorative collection honoring the memory of Kobe Bryant, the Nike Zoom Kobe 5 Protro ‘5x Champ’ features a design inspired by the championship jackets gifted to the Mamba following his second and third NBA titles. The glossy patent leather upper is dressed in purple and black with contrasting gold accents. The Lakers’ signature purple and gold hues are repeated on the LA-themed custom sockliner.",N,N,N,N
Kobe 8 'Challenge Red',555035 600,kobe-8-system-challenge-red-555035-600,Red,https://image.goat.com/750/attachments/product_template_pictures/images/053/871/249/original/13296_00.png.png,2013-06-15,2013,,good_condition,https://www.goat.com/sneakers/kobe-8-system-challenge-red-555035-600,Nike - Kobe 8,Nike - Kobe 8,Nike,Shop the Kobe 8 'Challenge Red' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Kobe 8 ‘Challenge Red’ takes advantage of its expansive Engineered Mesh upper with a unique red and black design. A no-sew synthetic overlay in black is included for stability at the heel, while a full-length Lunarlon midsole, finished in black with red speckle detailing, provides cushioning. Underfoot, a rubber outsole combines a classic herringbone tread with a pattern inspired by snakeskin.",N,N,N,N
Kobe Mentality,704942 300,kobe-mentality-704942-300,Blue,https://image.goat.com/750/attachments/product_template_pictures/images/003/738/402/original/704942_300.png.png,,,,no_original_box,https://www.goat.com/sneakers/kobe-mentality-704942-300,Nike - Kb Mentality,Nike - Kb Mentality,Nike,Shop the Kobe Mentality and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Kobe 6 Protro 'EYBL',DM2825 001,kobe-6-protro-eybl-dm2825-001,Black,https://image.goat.com/750/attachments/product_template_pictures/images/085/438/353/original/778964_00.png.png,,,,good_condition,https://www.goat.com/sneakers/kobe-6-protro-eybl-dm2825-001,Nike - Zoom Kobe 6 Protro,Nike - Zoom Kobe 6,Nike,Shop the Kobe 6 Protro 'EYBL' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Zoom Kobe 6 Protro 'White Del Sol',CW2190 100,zoom-kobe-6-protro-del-sol-cw2190-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/053/488/796/original/635296_00.png.png,2021-06-14,2021,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-protro-del-sol-cw2190-100,Nike - Zoom Kobe 6 Protro,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 Protro 'White Del Sol' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Nike Zoom Kobe 6 Protro ‘White Del Sol’ brings back the original ‘POP’ colorway from 2011, updated with refreshed tooling and a sleeker shape. Polyurethane ‘islands’ create a scaly texture on the white and grey upper, fortified with a black molded heel counter and accented with a matching black Swoosh. The Cushlon midsole packs a large and flexible Air Zoom Turbo unit in the forefoot, along with a softer foam compound in the heel. Underfoot, the rubber outsole features a snakeskin-inspired traction pattern for maximum grip.",N,N,N,N
Kobe A.D. 'Purple Stardust',852425 500,kobe-a-d-purple-stardust-852425-500,Purple,https://image.goat.com/750/attachments/product_template_pictures/images/078/444/462/original/164172_00.png.png,2017-07-01,2017,,good_condition,https://www.goat.com/sneakers/kobe-a-d-purple-stardust-852425-500,Nike - Kobe A.D.,Nike - Kobe A.D.,Nike,Shop the Kobe A.D. 'Purple Stardust' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Emerging in a new colorway with Los Angeles Lakers DNA, the Nike Kobe A.D. features a ‘Purple Stardust’ colorway with a mesh upper. Blocked with tonal suede paneling on the heel, the design is contrasted with a black outsole and branding, while the midsole is displayed with a detailed speckle pattern. The insole is stamped with yellow Mamba logos to complete the look.",N,N,N,N
The Kobe 2 'White',677393 10,kobe-adidas,White,https://image.goat.com/750/attachments/product_template_pictures/images/000/024/033/original/677393_10.png.png,,,,good_condition,https://www.goat.com/sneakers/kobe-adidas,Adidas - Kobe Two,Adidas - Kobe Two,Adidas,Shop the The Kobe 2 'White' and other curated styles from adidas on GOAT. Buyer protection guaranteed on all purchases.,,N,N,N,N
Zoom Kobe 5 'Dark Knight',386429 001,zoom-kobe-5-dark-knight-386429-001,Black,https://image.goat.com/750/attachments/product_template_pictures/images/080/459/399/original/24066_00.png.png,2010-01-22,2010,,good_condition,https://www.goat.com/sneakers/zoom-kobe-5-dark-knight-386429-001,Nike - Zoom Kobe 5,Nike - Zoom Kobe 5,Nike,Shop the Zoom Kobe 5 'Dark Knight' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Inspired by colors from the 2008 film The Dark Knight, the Zoom Kobe 5 'Dark Knight' features a an upper in black and Neptune Blue with Flywire technology for added support. The sneaker also sports a mesh ankle collar and TPU heel counter for an adaptive fit and a Zoom Air unit in the heel and forefoot along with Lunar foam for responsive cushioning.",N,N,N,N
Kobe 8 GS 'Supernatural',555586 300,kobe-8-gs-atomic-teal-555586-300,Teal,https://image.goat.com/750/attachments/product_template_pictures/images/014/819/393/original/555586_300.png.png,2013-03-02,2013,,good_condition,https://www.goat.com/sneakers/kobe-8-gs-atomic-teal-555586-300,Nike - Kobe 8,Nike - Kobe 8,Nike,Shop the Kobe 8 GS 'Supernatural' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
Kobe A.D. 'Chrome',852425 110​,kobe-a-d-chrome-852425-110,White,https://image.goat.com/750/attachments/product_template_pictures/images/002/084/293/original/852425_110%E2%80%8B.png,,,,good_condition,https://www.goat.com/sneakers/kobe-a-d-chrome-852425-110,Nike - Kobe A.D.,Nike - Kobe A.D.,Nike,Shop the Kobe A.D. 'Chrome' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"The Kobe A.D. 'Chrome' sports a white mesh upper reinforced with Flywire technology, with a synthetic leather heel panel bringing a hit of silver to the look. The colorway sits above a midsole that’s equipped with Zoom Air, while a translucent blue outsole is featured underfoot. Kobe’s signature is embroidered in red on the right heel tab, and a DNA double helix emblem is featured on the left. An extra hit of grey on the upper arrives via the Swoosh.",N,N,N,N
Zoom Kobe 6 Protro GS 'Reverse Grinch',FV9676 600,zoom-kobe-6-protro-gs-reverse-grinch-fv9676-600,Red,https://image.goat.com/750/attachments/product_template_pictures/images/092/725/167/original/FV9676_600.png.png,2023-12-16,2023,,good_condition,https://www.goat.com/sneakers/zoom-kobe-6-protro-gs-reverse-grinch-fv9676-600,Nike - Zoom Kobe 6 Protro,Nike - Zoom Kobe 6,Nike,Shop the Zoom Kobe 6 Protro GS 'Reverse Grinch' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
Kobe A.D. 'Flip the Switch',852425 004,kobe-a-d-flip-the-switch-852425-004,Black,https://image.goat.com/750/attachments/product_template_pictures/images/078/723/773/original/144535_00.png.png,2017-05-05,2017,,good_condition,https://www.goat.com/sneakers/kobe-a-d-flip-the-switch-852425-004,Nike - Kobe A.D.,Nike - Kobe A.D.,Nike,Shop the Kobe A.D. 'Flip the Switch' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,"Introduced in May 2017, the Nike Kobe A.D. 'Flip the Switch' sneaker is primed for the NBA postseason with unique traits associated with Bryant's charge to the championship. The nubuck and synthetic upper flaunts a bold tongue, a fractured lateral Swoosh and an ombre external counter with a sheath logo. A coiled snake and script logo embroider the heel patches. Zoom Air, Lunarlon midsole cushioning and the rubber outsole remain.",N,N,N,N
Kobe 8 Protro GS 'Halo',FN0266 100,kobe-8-protro-gs-triple-white-fn0266-100,White,https://image.goat.com/750/attachments/product_template_pictures/images/093/048/641/original/1264215_00.png.png,2023-08-23,2023,,good_condition,https://www.goat.com/sneakers/kobe-8-protro-gs-triple-white-fn0266-100,Nike - Zoom Kobe 8 Protro,Nike - Zoom Kobe 8,Nike,Shop the Kobe 8 Protro GS 'Halo' and other curated styles from Nike on GOAT. Buyer protection guaranteed on all purchases.,,N,N,Y,N
